"DataSupplier","DataSet","Commodity","Species","Year","Volume","Units","n"
"MMO","Sea Fisheries Statistics","Production","Brill",2017-01-01,156405690,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Brill",2017-01-01,156405690,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cod",2017-01-01,10804255650,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cod",2017-01-01,10804255650,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Dogfish",2017-01-01,753016000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Dogfish",2017-01-01,753016000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Gurnard",2017-01-01,762762250,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Gurnard",2017-01-01,762762250,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Haddock",2017-01-01,16763321900,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Haddock",2017-01-01,16763321900,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Hake",2017-01-01,6280349300,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Hake",2017-01-01,6280349300,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Ling",2017-01-01,2655119050,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Ling",2017-01-01,2655119050,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Megrim",2017-01-01,1331863020,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Megrim",2017-01-01,1331863020,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Turbot",2017-01-01,268442010,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Turbot",2017-01-01,268442010,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Whiting",2017-01-01,4945103050,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Whiting",2017-01-01,4945103050,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Witch",2017-01-01,448575480,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Witch",2017-01-01,448575480,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cuttlefish",2017-01-01,5621861200,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cuttlefish",2017-01-01,5621861200,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Mussel",2017-01-01,206250360,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Mussel",2017-01-01,206250360,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Nephrops",2017-01-01,13558904415,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Nephrops",2017-01-01,13558904415,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Squid",2017-01-01,2746202000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Squid",2017-01-01,2746202000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Brill",2018-01-01,146946870,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Brill",2018-01-01,146946870,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cod",2018-01-01,12299629600,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cod",2018-01-01,12299629600,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Dogfish",2018-01-01,1043206700,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Dogfish",2018-01-01,1043206700,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Gurnard",2018-01-01,901842200,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Gurnard",2018-01-01,901842200,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Haddock",2018-01-01,17582646300,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Haddock",2018-01-01,17582646300,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Hake",2018-01-01,5669288850,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Hake",2018-01-01,5669288850,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Ling",2018-01-01,2792734400,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Ling",2018-01-01,2792734400,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Megrim",2018-01-01,1547081775,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Megrim",2018-01-01,1547081775,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Turbot",2018-01-01,218884005,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Turbot",2018-01-01,218884005,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Whiting",2018-01-01,5722153000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Whiting",2018-01-01,5722153000,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Witch",2018-01-01,548458245,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Witch",2018-01-01,548458245,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cuttlefish",2018-01-01,3159104080,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Cuttlefish",2018-01-01,3159104080,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Mussel",2018-01-01,129082080,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Mussel",2018-01-01,129082080,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Nephrops",2018-01-01,11313436815,"Grams",2
"MMO","Sea Fisheries Statistics","Production","Nephrops",2018-01-01,11313436815,"Grams",2
